id,time,latitude,longitude
ci39083815,2020-02-26T08:05:53.730Z,33.6385,-116.7205
ci39083823,2020-02-26T08:31:40.460Z,35.3491667,-117.825
ci39083855,2020-02-26T09:34:23.870Z,35.3516667,-117.823
ci39083871,2020-02-26T10:19:22.250Z,36.3843333,-117.8596667
ci39083879,2020-02-26T10:22:34.260Z,36.115,-117.829
ci39083895,2020-02-26T10:55:43.040Z,35.8255,-117.6618333
ci39083911,2020-02-26T11:35:02.710Z,36.115,-117.8366667
ci39083927,2020-02-26T11:51:20.040Z,32.6731667,-115.6471667
ci39083951,2020-02-26T12:25:19.390Z,35.7838333,-117.5775
ci39083983,2020-02-26T13:02:43.630Z,35.834,-117.6743333
ci39083991,2020-02-26T13:09:11.030Z,35.9643333,-117.3838333
ci39083999,2020-02-26T13:17:50.340Z,35.3585,-117.829
ci39084111,2020-02-26T15:13:00.160Z,35.7921667,-117.6283333
ci39084159,2020-02-26T15:37:52.630Z,32.7763333,-115.834
ci39084215,2020-02-26T17:10:55.490Z,35.8666667,-117.6965
ci39084303,2020-02-26T18:54:36.690Z,35.8188333,-117.6373333
ci39084319,2020-02-26T19:10:03.940Z,33.338,-117.1388333
ci39084359,2020-02-26T19:48:31.180Z,35.3321667,-118.625
ci39084383,2020-02-26T19:57:32.780Z,34.9971667,-118.182
ci39084447,2020-02-26T21:01:08.490Z,35.8576667,-117.6843333
ci39084591,2020-02-26T23:00:25.010Z,33.9201667,-116.324
ci39084599,2020-02-26T23:04:23.820Z,34.337,-116.4525
ci39084615,2020-02-26T23:22:48.510Z,35.8681667,-117.6971667
ci39084647,2020-02-26T23:49:21.780Z,33.5803333,-116.8131667
ci39084655,2020-02-26T23:52:59.530Z,35.6491667,-117.4501667
ci39084703,2020-02-27T00:22:09.940Z,33.4608333,-116.5611667
ci39084719,2020-02-27T00:30:30.900Z,36.116,-117.8818333
ci39084759,2020-02-27T01:28:17.450Z,33.2265,-116.7366667
ci39084807,2020-02-27T02:23:57.840Z,35.7155,-117.5065
ci39084847,2020-02-27T03:12:31.960Z,33.2251667,-116.313
ci39084863,2020-02-27T03:42:53.920Z,33.8803333,-117.721
ci39084871,2020-02-27T03:52:52.050Z,35.6836667,-117.5083333
ci39084879,2020-02-27T04:24:37.600Z,36.094,-117.8563333
ci39084911,2020-02-27T05:26:32.150Z,35.6826667,-117.529
ci39084935,2020-02-27T05:58:30.950Z,33.7053333,-116.8178333
ci39084951,2020-02-27T06:07:18.520Z,33.8826667,-117.722
ci39084999,2020-02-27T07:50:59.610Z,35.6158333,-117.437
ci39085007,2020-02-27T07:58:30.970Z,33.8573333,-117.7886667
ci39085023,2020-02-27T08:25:02.360Z,35.7065,-117.5073333
ci39085047,2020-02-27T08:33:46.310Z,33.8788333,-116.821
ci39085055,2020-02-27T09:20:00.980Z,34.158,-116.4221667
ci39085087,2020-02-27T10:22:33.910Z,34.1593323,-116.4256668
ci39085127,2020-02-27T10:33:01.560Z,35.9591667,-117.3791667
ci39085143,2020-02-27T11:28:46.140Z,34.1588333,-116.4266667
ci39085159,2020-02-27T11:49:49.250Z,34.1543333,-116.4273333
ci39085183,2020-02-27T12:21:32.260Z,34.1555,-116.4316667
ci39085191,2020-02-27T12:26:33.350Z,32.9685,-115.7998333
ci39085207,2020-02-27T12:32:40.350Z,35.71,-117.5028333
ci39085223,2020-02-27T12:40:08.320Z,33.1281667,-115.5976667
ci39085239,2020-02-27T13:19:48.090Z,35.6651667,-117.5511667
ci39085247,2020-02-27T13:35:29.020Z,35.7733333,-117.5935
ci39085263,2020-02-27T13:52:03.150Z,35.6588333,-117.46
ci39085271,2020-02-27T14:04:03.020Z,34.1616667,-116.4203333
ci39085311,2020-02-27T14:24:58.470Z,33.3616667,-116.4073333
ci39085359,2020-02-27T15:10:16.710Z,35.703167,-117.5540009
ci39085375,2020-02-27T15:13:41.620Z,35.9031667,-117.6955
ci39085431,2020-02-27T16:36:22.930Z,36.0513333,-117.8508333
ci39085479,2020-02-27T17:06:22.990Z,35.5986667,-117.4046667
ci39085583,2020-02-27T18:25:18.040Z,34.3408333,-116.8851667
ci39085623,2020-02-27T18:49:44.100Z,33.4875,-116.7893333
ci39085647,2020-02-27T18:57:11.680Z,33.322,-116.403
ci39085663,2020-02-27T19:00:38.080Z,33.4413333,-116.576
ci39085695,2020-02-27T19:24:27.790Z,33.8438333,-117.752
ci39085703,2020-02-27T19:28:09.650Z,33.8546667,-117.7933333
ci39085711,2020-02-27T19:42:00.130Z,35.587,-117.4091667
ci39085735,2020-02-27T20:10:15.520Z,35.5993333,-117.415
ci39085775,2020-02-27T21:30:05.910Z,34.2618333,-117.1426667
ci39085839,2020-02-27T22:23:05.400Z,35.349,-117.8241667
ci39085847,2020-02-27T22:28:40.800Z,35.3543333,-117.8235
ci39085863,2020-02-27T22:55:38.550Z,35.6425,-117.5811667
ci39085919,2020-02-27T23:39:23.010Z,34.2026667,-116.8751667
ci39085943,2020-02-28T00:01:49.550Z,35.877,-117.7046667
ci39085967,2020-02-28T00:31:35.730Z,34.4741667,-119.2571667
ci39086031,2020-02-28T01:34:08.390Z,35.5873333,-117.4995
ci39086039,2020-02-28T01:39:52.090Z,34.507,-116.5126667
